,Left Hand Side,Right Hand Side,Support,Confidence,Lifts
0,kitchen towels,UHT-milk,0.002308876346844536,0.30000000000000004,3.821568627450981
1,potato products,beef,0.002565418163160595,0.4545454545454546,3.8021849395239955
2,canned fruit,coffee,0.002308876346844536,0.4285714285714286,3.7289540816326534
3,meat spreads,domestic eggs,0.0035915854284248334,0.4,3.0042389210019267
4,flour,mayonnaise,0.002308876346844536,0.06338028169014086,3.3385991625428253
5,rice,napkins,0.0030785017957927143,0.2448979591836735,3.011395094315329
6,sparkling wine,waffles,0.002565418163160595,0.21739130434782608,3.1501535477614353
7,Instant food products,beef,0.002052334530528476,0.13333333333333333,3.112175648702595
8,Instant food products,root vegetables,0.002565418163160595,0.16666666666666666,5.4593837535014
9,Instant food products,soda,0.002052334530528476,0.13333333333333333,3.289451476793249
10,frankfurter,UHT-milk,0.002308876346844536,0.2647058823529412,3.3719723183391004
11,waffles,chicken,0.002052334530528476,0.31999999999999995,3.18204081632653
12,curd,UHT-milk,0.0028219599794766545,0.27499999999999997,3.5031045751633982
13,UHT-milk,coffee,0.002052334530528476,0.47058823529411764,4.09453781512605
14,liquor,root vegetables,0.002052334530528476,0.07766990291262135,3.692161970163391
15,liquor,UHT-milk,0.002052334530528476,0.07766990291262135,3.327003093993385
16,artif. sweetener,soda,0.002052334530528476,0.27586206896551724,3.6205735516080346
17,artif. sweetener,soda,0.002308876346844536,0.3103448275862069,3.7922386768997947
18,baking powder,brown bread,0.002308876346844536,0.0743801652892562,3.1514552641034856
19,baking powder,bottled water,0.0030785017957927143,0.09917355371900827,3.9446786979254513
20,baking powder,canned beer,0.002565418163160595,0.08264462809917356,3.3557162534435263
21,newspapers,canned beer,0.002565418163160595,0.5,3.0263975155279503
22,baking powder,curd,0.002052334530528476,0.06611570247933884,3.579430670339761
23,baking powder,domestic eggs,0.002308876346844536,0.0743801652892562,3.2947032306536443
24,baking powder,whipped/sour cream,0.002052334530528476,0.06611570247933884,3.304089849544395
25,baking powder,hygiene articles,0.002052334530528476,0.16666666666666666,3.184640522875817
26,baking powder,pastry,0.002565418163160595,0.08264462809917356,3.5400962673689946
27,baking powder,specialty bar,0.002308876346844536,0.0743801652892562,3.051935624184428
28,baking powder,pork,0.002052334530528476,0.06611570247933884,7.57997083130773
29,berries,beef,0.0028219599794766545,0.36666666666666664,3.0670958512160227
30,beef,chocolate,0.002565418163160595,0.28571428571428575,3.3047901653242904
31,detergent,beef,0.002565418163160595,0.07874015748031496,3.038902315428393
32,soft cheese,beef,0.0033350436121087736,0.08843537414965986,3.413080083518556
33,butter milk,beef,0.004104669061056952,0.06324110671936758,3.2436030788433534
34,soft cheese,beef,0.002308876346844536,0.06122448979591837,3.2692200167738332
35,beef,chocolate,0.002308876346844536,0.2647058823529412,3.06179088846221
36,beef,chocolate,0.002308876346844536,0.2727272727272727,3.154572430536822
37,processed cheese,beef,0.002308876346844536,0.060000000000000005,3.4907462686567166
38,instant coffee,beef,0.002308876346844536,0.15254237288135594,3.0030816640986138
39,beef,meat,0.002052334530528476,0.25,3.9294354838709675
40,oil,beef,0.0030785017957927143,0.05529953917050691,3.036022587135718
41,soft cheese,bottled beer,0.002052334530528476,0.05442176870748299,3.2636316064887496
42,dish cleaner,whole milk,0.002308876346844536,0.12328767123287672,3.1410153102336826
43,frankfurter,ham,0.002565418163160595,0.23255813953488372,3.6700875623764238
44,berries,newspapers,0.002308876346844536,0.5,3.5761467889908256
45,ham,berries,0.002052334530528476,0.27586206896551724,3.4575895332076727
46,bottled beer,butter milk,0.002308876346844536,0.23076923076923078,3.5554879902705996
47,butter,butter milk,0.002565418163160595,0.29411764705882354,4.531504301325274
48,pastry,butter milk,0.002565418163160595,0.21739130434782608,3.3493727444578107
49,canned beer,meat,0.0030785017957927143,0.27906976744186046,4.3863465866466615
50,citrus fruit,white bread,0.0028219599794766545,0.2682926829268293,3.022557451008036
51,domestic eggs,meat,0.002052334530528476,0.2222222222222222,3.4928315412186377
52,pastry,oil,0.002052334530528476,0.17391304347826086,3.124023241835303
53,pork,oil,0.002052334530528476,0.2051282051282051,3.6847453621647164
54,beverages,rolls/buns,0.0038481272447408927,0.06198347107438017,3.058374306935872
55,sugar,beverages,0.0033350436121087736,0.05058365758754863,3.3419508012926196
56,mustard,bottled beer,0.002052334530528476,0.5,3.148626817447496
57,canned vegetables,bottled beer,0.002308876346844536,0.1125,3.780387931034483
58,onions,cat food,0.002052334530528476,0.13793103448275862,3.144182294817503
59,cleaner,whole milk,0.002308876346844536,0.2903225806451613,3.3984306887532694
60,red/blush wine,cream cheese,0.002052334530528476,0.26666666666666666,3.0129468599033817
61,dog food,bottled beer,0.002308876346844536,0.13432835820895522,3.3781415503129515
62,hygiene articles,ice cream,0.002052334530528476,0.18604651162790697,3.296405919661734
63,ice cream,oil,0.002308876346844536,0.2142857142857143,3.849242922975642
64,meat,long life bakery product,0.002052334530528476,0.19999999999999998,3.057254901960784
65,long life bakery product,specialty chocolate,0.002308876346844536,0.1836734693877551,3.1401718582169713
66,specialty cheese,tropical fruit,0.002565418163160595,0.14084507042253522,3.2875094880661218
67,bottled water,chicken,0.002565418163160595,0.303030303030303,3.0132962275819417
68,condensed milk,bottled water,0.002052334530528476,0.08602150537634408,3.1934459805427546
69,curd cheese,pastry,0.002308876346844536,0.1956521739130435,4.48618925831202
70,bottled water,frankfurter,0.002052334530528476,0.5333333333333333,3.878606965174129
71,mayonnaise,bottled water,0.002052334530528476,0.1081081081081081,5.077173559101269
72,bottled water,specialty chocolate,0.002308876346844536,0.1956521739130435,3.3449656750572085
73,spices,bottled water,0.0028219599794766545,0.282051282051282,3.5580449755207026
74,bottled water,sugar,0.0030785017957927143,0.2105263157894737,3.1931189842310053
75,brandy,shopping bags,0.002052334530528476,0.2105263157894737,3.0620581304006285
76,chewing gum,butter,0.002308876346844536,0.391304347826087,3.0939236264220833
77,canned vegetables,brown bread,0.002052334530528476,0.09999999999999999,3.3316239316239313
78,spread cheese,brown bread,0.002308876346844536,0.09183673469387756,3.0596546310832027
79,dessert,brown bread,0.002052334530528476,0.4210526315789474,3.096722939424032
80,cat food,white bread,0.002308876346844536,0.05263157894736842,3.2564745196324143
81,ice cream,coffee,0.002565418163160595,0.3448275862068966,3.000307881773399
82,spread cheese,brown bread,0.002052334530528476,0.08163265306122448,4.679471788715486
83,flour,brown bread,0.002308876346844536,0.06338028169014086,3.0128821710752325
84,pot plants,frankfurter,0.002052334530528476,0.06896551724137931,3.0899722552516846
85,brown bread,long life bakery product,0.002308876346844536,0.20930232558139536,3.199452804377565
86,brown bread,meat,0.002052334530528476,0.26666666666666666,4.191397849462366
87,brown bread,meat,0.002052334530528476,0.2222222222222222,3.4928315412186377
88,meat,specialty bar,0.002052334530528476,0.18181818181818182,3.4572062084257205
89,onions,misc. beverages,0.002308876346844536,0.19148936170212766,3.2453283996299724
90,pasta,pastry,0.002308876346844536,0.5625000000000001,3.1685332369942203
91,red/blush wine,whipped/sour cream,0.002565418163160595,0.06451612903225806,3.066876475216365
92,hamburger meat,butter milk,0.002052334530528476,0.2105263157894737,3.243603078843354
93,chewing gum,butter,0.002565418163160595,0.05747126436781609,3.027337682510096
94,chewing gum,butter,0.0033350436121087736,0.07471264367816093,4.101829367006638
95,soft cheese,butter,0.0028219599794766545,0.07482993197278912,3.9417172274315133
96,butter,coffee,0.002052334530528476,0.34782608695652173,3.0263975155279503
97,detergent,newspapers,0.002308876346844536,0.07086614173228346,3.069291338582677
98,frozen fish,butter,0.002052334530528476,0.0792079207920792,4.824257425742574
99,butter,meat,0.002052334530528476,0.2105263157894737,3.3089983022071308
100,pickled vegetables,butter,0.002052334530528476,0.06153846153846154,3.156275303643725
