,Left Hand Side 1,Left Hand Side 2,Right Hand Side,Support(%),Confidence(%),Lift,Rules
0,other vegetables,rolls/buns,soda,0.11361358016440554,10.759493670886075,1.108013102529032,other vegetables + rolls/buns -> soda
1,other vegetables,soda,rolls/buns,0.11361358016440554,11.724137931034482,1.0657853940587423,other vegetables + soda -> rolls/buns
2,rolls/buns,soda,other vegetables,0.11361358016440554,14.049586776859504,1.150651160055549,rolls/buns + soda -> other vegetables
3,other vegetables,rolls/buns,whole milk,0.12029673193878233,11.39240506329114,0.7213904230301538,other vegetables + rolls/buns -> whole milk
4,other vegetables,soda,whole milk,0.11361358016440554,11.724137931034482,0.7423964276854379,other vegetables + soda -> whole milk
5,other vegetables,yogurt,whole milk,0.11361358016440554,14.049586776859504,0.8896486116891612,other vegetables + yogurt -> whole milk
6,yogurt,whole milk,other vegetables,0.11361358016440554,10.179640718562874,0.8337053315372539,yogurt + whole milk -> other vegetables
7,rolls/buns,sausage,whole milk,0.11361358016440554,21.25,1.345593525179856,rolls/buns + sausage -> whole milk
8,sausage,whole milk,rolls/buns,0.11361358016440554,12.686567164179104,1.1532752398396837,sausage + whole milk -> rolls/buns
9,rolls/buns,soda,whole milk,0.10024727661565194,12.396694214876034,0.7849840691374952,rolls/buns + soda -> whole milk
10,rolls/buns,yogurt,whole milk,0.13366303548753591,17.094017094017094,1.0824281751069733,rolls/buns + yogurt -> whole milk
11,yogurt,whole milk,rolls/buns,0.13366303548753591,11.976047904191619,1.0886853267947703,yogurt + whole milk -> rolls/buns
12,soda,sausage,whole milk,0.10693042839002875,17.97752808988764,1.138373901011379,soda + sausage -> whole milk
13,sausage,whole milk,soda,0.10693042839002875,11.940298507462687,1.2296124333596987,sausage + whole milk -> soda
14,sausage,whole milk,yogurt,0.1470293390362895,16.417910447761194,1.9117602648237413,sausage + whole milk -> yogurt
15,yogurt,sausage,whole milk,0.1470293390362895,25.581395348837212,1.6198663504217148,yogurt + sausage -> whole milk
16,yogurt,whole milk,sausage,0.1470293390362895,13.17365269461078,2.1829165589087607,yogurt + whole milk -> sausage
